,S0,S1,S2,S3,AVG
260,104.0,310.0,441.0,158.0,253.0
261,104.0,308.0,442.0,158.0,253.0
262,104.0,307.0,442.0,154.0,251.0
263,105.0,308.0,442.0,153.0,252.0
264,105.0,311.0,441.0,156.0,253.0
265,104.0,311.0,441.0,159.0,253.0
266,104.0,314.0,442.0,157.0,254.0
267,105.0,313.0,442.0,152.0,253.0
268,105.0,311.0,442.0,151.0,252.0
269,105.0,308.0,441.0,153.0,251.0
270,105.0,308.0,441.0,158.0,253.0
271,104.0,309.0,441.0,158.0,253.0
272,104.0,310.0,440.0,156.0,252.0
273,105.0,309.0,439.0,152.0,251.0
274,105.0,310.0,439.0,151.0,251.0
275,105.0,311.0,440.0,155.0,252.0
276,106.0,312.0,439.0,158.0,253.0
277,105.0,313.0,439.0,158.0,253.0
278,105.0,314.0,438.0,151.0,252.0
279,108.0,311.0,438.0,148.0,251.0
280,108.0,310.0,439.0,151.0,252.0
281,107.0,311.0,439.0,157.0,253.0
282,108.0,312.0,439.0,160.0,254.0
283,108.0,311.0,439.0,156.0,253.0
284,109.0,310.0,440.0,155.0,253.0
285,108.0,312.0,439.0,156.0,253.0
286,108.0,311.0,438.0,158.0,253.0
287,107.0,311.0,437.0,158.0,253.0
288,98.0,310.0,438.0,156.0,250.0
289,98.0,310.0,438.0,156.0,250.0
290,97.0,312.0,437.0,157.0,250.0
291,97.0,310.0,437.0,159.0,250.0
292,97.0,311.0,437.0,160.0,251.0
293,98.0,311.0,437.0,157.0,250.0
294,98.0,310.0,437.0,152.0,249.0
295,97.0,311.0,438.0,150.0,249.0
296,98.0,312.0,439.0,151.0,250.0
297,98.0,311.0,439.0,155.0,250.0
298,98.0,312.0,440.0,155.0,251.0
299,98.0,307.0,439.0,155.0,249.0
300,98.0,313.0,437.0,154.0,250.0
301,98.0,313.0,437.0,153.0,250.0
302,98.0,315.0,436.0,152.0,250.0
303,98.0,315.0,436.0,153.0,250.0
304,98.0,316.0,436.0,154.0,251.0
305,98.0,317.0,437.0,155.0,251.0
306,98.0,318.0,437.0,153.0,251.0
307,97.0,315.0,436.0,154.0,250.0
308,98.0,312.0,435.0,155.0,250.0
309,98.0,315.0,436.0,158.0,251.0
310,98.0,316.0,437.0,158.0,252.0
311,98.0,315.0,438.0,155.0,251.0
312,98.0,314.0,438.0,153.0,250.0
313,98.0,314.0,438.0,155.0,251.0
314,97.0,313.0,438.0,159.0,251.0
315,97.0,314.0,439.0,161.0,252.0
316,97.0,314.0,440.0,160.0,252.0
317,98.0,315.0,441.0,158.0,253.0
318,98.0,314.0,441.0,159.0,253.0
319,98.0,317.0,442.0,164.0,255.0
320,98.0,318.0,442.0,169.0,256.0
321,98.0,315.0,442.0,167.0,255.0
322,98.0,318.0,441.0,166.0,255.0
323,104.0,320.0,441.0,166.0,257.0
324,102.0,319.0,443.0,167.0,257.0
325,102.0,322.0,446.0,167.0,259.0
326,101.0,329.0,448.0,165.0,260.0
327,102.0,321.0,448.0,166.0,259.0
328,102.0,321.0,447.0,168.0,259.0
329,99.0,322.0,445.0,169.0,258.0
330,102.0,318.0,444.0,168.0,258.0
331,102.0,321.0,445.0,167.0,258.0
332,101.0,320.0,445.0,167.0,258.0
333,101.0,319.0,445.0,168.0,258.0
334,101.0,311.0,444.0,167.0,255.0
335,101.0,316.0,444.0,166.0,256.0
336,101.0,311.0,443.0,167.0,255.0
337,102.0,310.0,443.0,170.0,256.0
338,102.0,315.0,443.0,170.0,257.0
339,102.0,319.0,442.0,168.0,257.0
340,102.0,320.0,442.0,164.0,257.0
341,102.0,319.0,442.0,168.0,257.0
342,102.0,320.0,442.0,172.0,259.0
343,102.0,316.0,442.0,171.0,257.0
344,104.0,315.0,442.0,167.0,257.0
345,104.0,313.0,442.0,167.0,256.0
346,103.0,312.0,442.0,169.0,256.0
347,103.0,308.0,442.0,173.0,256.0
348,103.0,309.0,444.0,171.0,256.0
349,104.0,310.0,445.0,164.0,255.0
350,103.0,308.0,446.0,155.0,253.0
351,104.0,310.0,447.0,152.0,253.0
352,104.0,309.0,448.0,157.0,254.0
353,104.0,309.0,449.0,163.0,256.0
354,104.0,309.0,448.0,169.0,257.0
